Player,Year,Origin,Destination,Prev_Yards,Prev_Tackles,Prev_Sacks,Prev_INTs,Success_In_B1G
Torrie Cox Jr.,2024,Ohio,Illinois,22.0,36.0,1.5,1.0,1
Charles Ross,2024,San José State,USC,347.0,0.0,0.0,0.0,0
Zach Horton,2024,James Madison,Indiana,275.0,1.0,0.0,0.0,0
Dennis Briggs Jr.,2024,Florida State,Illinois,0.0,12.0,2.0,0.0,1
Jalen Satchell,2024,Old Dominion,Michigan State,0.0,15.0,1.0,0.0,0
Mikail Kamara,2024,James Madison,Indiana,0.0,51.0,7.5,0.0,1
Gentle Hunt,2024,Florida A&M,Illinois,0.0,5.0,1.5,0.0,0
Joseph Vaughn,2024,Yale,UCLA,53.0,0.0,0.0,2.0,0
Athan Kaliakmanis,2024,Minnesota,Rutgers,1932.0,1.0,0.0,9.0,1
Bryce Pierre,2024,Arizona State,UCLA,139.0,0.0,0.0,0.0,0
Jacob Gill,2024,Northwestern,Iowa,11.0,0.0,0.0,0.0,1
Atticus Sappington,2024,Oregon State,Oregon,9.0,0.0,0.0,0.0,0
Dominic Zvada,2024,Arkansas State,Michigan,0.0,0.0,0.0,0.0,0
Mateen Bhaghani,2024,California,UCLA,0.0,0.0,0.0,0.0,0
Ben Roberts,2024,Oregon,Michigan State,0.0,2.0,0.0,0.0,0
Gavin Meyer,2024,Wyoming,USC,0.0,23.0,0.0,0.0,1
