Player,Year,Origin,Destination,Prev_Yards,Prev_Tackles,Prev_Sacks,Prev_INTs,Success_In_B1G
Timmy Bleekrode,2022,Furman,Nebraska,379.0,0.0,0.0,0.0,0
Jacoby Windmon,2022,UNLV,Michigan State,0.0,118.0,6.5,0.0,1
Kristopher Moll,2022,UAB,Washington,0.0,14.0,0.0,0.0,1
Connor Bazelak,2022,Missouri,Indiana,2525.0,0.0,0.0,11.0,1
Reese Taylor,2022,Indiana,Purdue,32.0,25.0,1.0,0.0,1
Jared Casey,2022,Kentucky,Indiana,0.0,9.0,0.0,0.0,0
Taj Harris,2022,Syracuse,Rutgers,171.0,0.0,0.0,0.0,0
Jalen Berger,2022,Wisconsin,Michigan State,105.0,0.0,0.0,0.0,1
Sam Taimani,2022,Washington,Oregon,0.0,43.0,0.0,0.0,0
Tommi Hill,2022,Arizona State,Nebraska,79.0,9.0,0.0,0.0,0
JH Tevis,2022,California,Indiana,0.0,36.0,1.0,0.0,1
Isaiah Garcia-Castaneda,2022,New Mexico State,Nebraska,637.0,1.0,0.0,0.0,0
Khris Bogle,2022,Florida,Michigan State,0.0,22.0,1.5,0.0,0
Shaun Shivers,2022,Auburn,Indiana,302.0,0.0,0.0,0.0,1
Will Nixon,2022,Nebraska,Washington,5.0,0.0,0.0,0.0,0
Chubba Purdy,2022,Florida State,Nebraska,103.0,0.0,0.0,0.0,0
Myles Jackson,2022,UCLA,Indiana,0.0,6.0,1.0,0.0,0
Emery Simmons,2022,North Carolina,Indiana,243.0,0.0,0.0,0.0,1
Willie Tyler,2022,UL Monroe,Rutgers,0.0,1.0,0.0,0.0,0
Casey Thompson,2022,Texas,Nebraska,2270.0,0.0,0.0,9.0,1
Wendell Davis,2022,Pittsburgh,Northwestern,0.0,22.0,1.0,0.0,0
Shawn Bowman,2023,Maine,Rutgers,358.0,1.0,0.0,0.0,0
Tywone Malone,2023,Ole Miss,Ohio State,0.0,8.0,0.0,0.0,0
Elijah Spencer,2023,Charlotte,Minnesota,943.0,0.0,0.0,0.0,0
Nathanial Vakos,2023,Ohio,Wisconsin,0.0,0.0,0.0,0.0,0
Isaiah Iton,2023,Ole Miss,Rutgers,0.0,7.0,0.5,0.0,1
Jack Henderson,2023,SE Louisiana,Minnesota,14.0,13.0,1.0,2.0,1
Ryan Selig,2023,Western Michigan,Minnesota,0.0,73.0,1.5,0.0,1
Andre Carter,2023,Western Michigan,Indiana,11.0,67.0,6.0,1.0,1
Darren Barkins,2023,Oregon,Washington,0.0,3.0,0.0,0.0,0
Nikko Reed,2023,Colorado,Oregon,501.0,41.0,0.0,2.0,1
Markevious Brown,2023,Ole Miss,Purdue,0.0,16.0,0.0,0.0,1
Traeshon Holden,2023,Alabama,Oregon,331.0,0.0,0.0,0.0,1
Germie Bernard,2023,Michigan State,Washington,250.0,2.0,0.0,0.0,1
Isaiah Garcia-Castaneda,2023,Nebraska,Nebraska,120.0,0.0,0.0,0.0,0
Ben Bryant,2023,Cincinnati,Northwestern,2614.0,0.0,0.0,7.0,1
Deuce Palmer,2023,SMU,USC,0.0,8.0,0.0,0.0,0
Jake Heimlicher,2023,Pennsylvania,UCLA,6.0,0.0,0.0,1.0,0
Jordan Phillips,2023,Tennessee,Maryland,0.0,1.0,0.0,0.0,1
Kyon Barrs,2023,Arizona,USC,0.0,39.0,0.0,0.0,0
Josaiah Stewart,2023,Coastal Carolina,Michigan,0.0,34.0,3.5,0.0,1
Tyler Bride,2023,Georgia Southern,Minnesota,35.0,35.0,0.0,2.0,0
John Ferlmann,2023,Arizona State,Ohio State,0.0,2.0,0.0,0.0,0
Ja'Had Carter,2023,Syracuse,Ohio State,34.0,35.0,0.0,3.0,0
Josh Cuevas,2023,Cal Poly,Washington,678.0,0.0,0.0,0.0,0
Tunmise Adeleye,2023,Texas A&M,Michigan State,0.0,6.0,0.0,0.0,0
Jabbar Muhammad,2023,Oklahoma State,Washington,0.0,48.0,0.0,1.0,1
Malik Langham,2023,Vanderbilt,Purdue,0.0,13.0,0.0,0.0,0
Philip Blidi,2023,Texas Tech,Indiana,0.0,18.0,2.0,0.0,1
Dante Cephas,2023,Kent State,Penn State,756.0,0.0,0.0,0.0,0
Josh Sanguinetti,2023,Indiana,Indiana,0.0,22.0,0.0,1.0,0
Davison Igbinosun,2023,Ole Miss,Ohio State,0.0,32.0,0.0,0.0,1
J.Michael Sturdivant,2023,California,UCLA,747.0,1.0,0.0,0.0,1
Dorian Singer,2023,Arizona,USC,1137.0,2.0,0.0,0.0,0
Casey Kelly,2023,Ole Miss,Oregon,25.0,0.0,0.0,0.0,0
Darian Varner,2023,Temple,Wisconsin,0.0,35.0,7.5,0.0,0
Kobee Minor,2023,Texas Tech,Indiana,0.0,12.0,0.0,0.0,1
Jaren Mangham,2023,South Florida,Michigan State,128.0,0.0,0.0,0.0,0
Collin Schlee,2023,Kent State,UCLA,2707.0,0.0,0.0,5.0,1
Anthony Jones,2023,Oregon,Indiana,0.0,1.0,0.0,0.0,0
Malik McClain,2023,Florida State,Penn State,212.0,0.0,0.0,0.0,0
Kyle Ford,2023,USC,UCLA,365.0,0.0,0.0,0.0,0
Dre Butler,2023,Liberty,Michigan State,20.0,21.0,1.5,0.0,0
Chief Borders,2023,Florida,Nebraska,0.0,2.0,0.0,0.0,0
Marquis Wilson,2023,Penn State,Purdue,2.0,18.0,0.0,0.0,0
Jordan Anderson,2023,Bowling Green,UCLA,0.0,42.0,0.5,1.0,0
Tayven Jackson,2023,Tennessee,Indiana,47.0,0.0,0.0,0.0,1
Jestin Jacobs,2023,Iowa,Oregon,0.0,6.0,0.0,0.0,1
Jordan Burch,2023,South Carolina,Oregon,0.0,56.0,3.5,0.0,1
MarShawn Lloyd,2023,South Carolina,USC,748.0,1.0,0.0,0.0,1
Sean Tyler,2023,Western Michigan,Minnesota,1762.0,0.0,0.0,0.0,0
Jamil Muhammad,2023,Georgia State,USC,-1.0,44.0,1.5,1.0,1
Hudson Card,2023,Texas,Purdue,974.0,0.0,0.0,1.0,1
Carson Steele,2023,Ball State,UCLA,1744.0,1.0,0.0,0.0,1
Luke Altmyer,2023,Ole Miss,Illinois,128.0,0.0,0.0,1.0,1
MJ Sherman,2023,Georgia,Nebraska,0.0,4.0,0.5,0.0,0
Oluwafemi Oladejo,2023,California,UCLA,0.0,69.0,0.0,0.0,1
Tanner Mordecai,2023,SMU,Wisconsin,3624.0,1.0,0.0,10.0,1
Eric Rogers,2023,Northern Illinois,Rutgers,0.0,16.0,0.0,2.0,0
Tyrese Chambers,2023,Florida International,Maryland,580.0,0.0,0.0,0.0,0
Jack Sullivan,2023,Purdue,USC,5.0,33.0,5.5,0.0,0
Avantae Williams,2023,Miami,Maryland,0.0,9.0,0.0,0.0,0
Tysheem Johnson,2023,Ole Miss,Oregon,0.0,73.0,0.0,0.0,1
Erick All,2023,Michigan,Iowa,36.0,0.0,0.0,0.0,0
Marcus Burris Jr.,2023,Texas A&M,Indiana,0.0,1.0,0.0,0.0,0
Deacon Hill,2023,Wisconsin,Iowa,-10.0,0.0,0.0,0.0,1
Bear Alexander,2023,Georgia,USC,0.0,8.0,2.0,0.0,1
Evan Williams,2023,Fresno State,Oregon,0.0,55.0,0.0,0.0,1
Nick Jackson,2023,Virginia,Iowa,37.0,104.0,5.0,0.0,1
Moliki Matavao,2023,Oregon,UCLA,137.0,0.0,0.0,0.0,0
Khyree Jackson,2023,Alabama,Oregon,0.0,7.0,0.0,0.0,1
Corey Crooms,2023,Western Michigan,Minnesota,809.0,2.0,0.0,0.0,1
Dillon Johnson,2023,Mississippi State,Washington,773.0,1.0,0.0,0.0,1
Keanu Williams,2023,Oregon,UCLA,0.0,2.0,0.0,0.0,0
Jacob Mangum-Farrar,2023,Stanford,Indiana,0.0,45.0,0.0,0.0,1
Clayton Bush,2023,Southern Illinois,Illinois,0.0,1.0,0.0,1.0,1
Ernest Hausmann,2023,Nebraska,Michigan,0.0,54.0,1.0,0.0,1
Christian Roland-Wallace,2023,Arizona,USC,0.0,57.0,0.0,0.0,1
Nicario Harper,2023,Louisville,Illinois,0.0,7.0,0.0,0.0,1
