School,Year,Total_Players,Underclassmen,Upperclassmen,Total_Transfers_Incoming,Pct_Transfers,Pct_Non_Transfers
Arkansas,2025,115,63,52,31.0,26.956521739130434,73.04347826086956
Arkansas State,2022,126,49,77,11.0,8.73015873015873,91.26984126984127
Arkansas State,2023,121,47,73,8.0,6.6115702479338845,93.38842975206612
Arkansas State,2024,123,60,63,17.0,13.821138211382115,86.17886178861788
Arkansas State,2025,123,77,46,32.0,26.01626016260163,73.98373983739837
Arkansas-Pine Bluff,2022,99,54,45,0.0,0.0,100.0
Arkansas-Pine Bluff,2023,48,25,19,0.0,0.0,100.0
Arkansas-Pine Bluff,2024,55,18,25,3.0,5.454545454545454,94.54545454545455
Arkansas-Pine Bluff,2025,95,44,51,1.0,1.0526315789473684,98.94736842105263
Army,2022,164,42,122,0.0,0.0,100.0
Army,2023,180,43,137,0.0,0.0,100.0
Army,2024,182,85,97,0.0,0.0,100.0
Army,2025,180,114,63,0.0,0.0,100.0
Assumption,2022,18,1,0,0.0,0.0,100.0
Auburn,2022,115,27,88,11.0,9.565217391304348,90.43478260869566
Auburn,2023,119,36,83,21.0,17.647058823529413,82.35294117647058
Auburn,2024,121,54,67,15.0,12.396694214876034,87.60330578512396
Auburn,2025,116,68,44,21.0,18.103448275862068,81.89655172413794
Augustana University (SD),2024,16,2,1,0.0,0.0,100.0
Austin Peay,2022,110,41,68,1.0,0.9090909090909091,99.0909090909091
Austin Peay,2023,43,8,32,3.0,6.976744186046512,93.02325581395348
Austin Peay,2024,39,12,24,17.0,43.58974358974359,56.41025641025641
Austin Peay,2025,110,61,49,23.0,20.909090909090907,79.0909090909091
Ave Maria University,2024,21,0,0,0.0,0.0,100.0
BLUEFIELD,2025,14,0,0,0.0,0.0,100.0
BYU,2022,125,24,101,4.0,3.2,96.8
BYU,2023,121,32,89,20.0,16.528925619834713,83.47107438016529
BYU,2024,125,56,67,9.0,7.199999999999999,92.8
BYU,2025,115,73,42,13.0,11.304347826086957,88.69565217391305
Ball State,2022,112,35,77,5.0,4.464285714285714,95.53571428571429
Ball State,2023,118,48,69,10.0,8.47457627118644,91.52542372881356
Ball State,2024,120,63,55,11.0,9.166666666666666,90.83333333333333
Ball State,2025,109,66,43,24.0,22.018348623853214,77.98165137614679
Baylor,2022,112,12,100,3.0,2.6785714285714284,97.32142857142857
Baylor,2023,109,28,81,13.0,11.926605504587156,88.07339449541284
Baylor,2024,110,38,72,16.0,14.545454545454545,85.45454545454545
Baylor,2025,117,66,49,23.0,19.65811965811966,80.34188034188034
Bentley,2025,18,0,0,0.0,0.0,100.0
Bethune-Cookman,2022,108,38,68,1.0,0.9259259259259258,99.07407407407408
Bethune-Cookman,2023,58,12,27,3.0,5.172413793103448,94.82758620689656
Bethune-Cookman,2024,59,18,32,9.0,15.254237288135593,84.7457627118644
Bethune-Cookman,2025,92,58,34,5.0,5.434782608695652,94.56521739130434
Black Hills State,2023,12,0,0,0.0,0.0,100.0
Black Hills State,2024,14,0,2,0.0,0.0,100.0
Bloomsburg,2022,13,0,1,0.0,0.0,100.0
Boise State,2022,106,19,87,3.0,2.8301886792452833,97.16981132075472
Boise State,2023,110,36,74,9.0,8.181818181818182,91.81818181818181
Boise State,2024,115,48,67,8.0,6.956521739130435,93.04347826086956
Boise State,2025,109,59,50,12.0,11.009174311926607,88.99082568807339
Boston College,2022,108,11,97,4.0,3.7037037037037033,96.29629629629629
Boston College,2023,118,24,93,9.0,7.627118644067797,92.37288135593221
Boston College,2024,118,44,73,10.0,8.47457627118644,91.52542372881356
Boston College,2025,124,77,47,15.0,12.096774193548388,87.90322580645162
Bowie State,2023,12,2,0,0.0,0.0,100.0
Bowie State,2025,16,2,0,0.0,0.0,100.0
