School,Year,Total_Players,Underclassmen,Upperclassmen,Total_Transfers_Incoming,Pct_Transfers,Pct_Non_Transfers
Troy,2025,107,52,55,4.0,3.7383177570093453,96.26168224299066
Truman State,2025,15,0,0,0.0,0.0,100.0
Tulane,2022,118,37,80,9.0,7.627118644067797,92.37288135593221
Tulane,2023,125,47,75,7.0,5.6000000000000005,94.4
Tulane,2024,120,53,67,22.0,18.333333333333332,81.66666666666667
Tulane,2025,117,78,39,30.0,25.64102564102564,74.35897435897436
Tulsa,2022,117,23,94,7.0,5.982905982905983,94.01709401709402
Tulsa,2023,121,38,81,8.0,6.6115702479338845,93.38842975206612
Tulsa,2024,124,66,56,12.0,9.67741935483871,90.3225806451613
Tulsa,2025,107,55,51,31.0,28.971962616822427,71.02803738317758
Tuskegee,2022,15,2,2,1.0,6.666666666666667,93.33333333333333
Tuskegee,2023,23,0,2,0.0,0.0,100.0
Tuskegee,2024,22,1,1,0.0,0.0,100.0
Tuskegee,2025,21,2,0,2.0,9.523809523809524,90.47619047619048
UAB,2022,124,34,90,2.0,1.6129032258064515,98.38709677419355
UAB,2023,117,42,75,7.0,5.982905982905983,94.01709401709402
UAB,2024,120,54,66,19.0,15.833333333333332,84.16666666666667
UAB,2025,106,58,48,29.0,27.358490566037734,72.64150943396227
UAlbany,2022,99,51,48,3.0,3.0303030303030303,96.96969696969697
UAlbany,2023,45,15,27,1.0,2.2222222222222223,97.77777777777777
UAlbany,2024,40,13,26,7.0,17.5,82.5
UAlbany,2025,99,47,52,0.0,0.0,100.0
UC Davis,2022,108,44,64,1.0,0.9259259259259258,99.07407407407408
UC Davis,2023,50,18,29,0.0,0.0,100.0
UC Davis,2024,44,17,25,1.0,2.272727272727273,97.72727272727273
UC Davis,2025,109,52,55,9.0,8.256880733944955,91.74311926605505
UCF,2022,116,12,104,14.0,12.068965517241379,87.93103448275862
UCF,2023,122,26,95,18.0,14.754098360655737,85.24590163934427
UCF,2024,119,41,76,25.0,21.008403361344538,78.99159663865547
UCF,2025,112,52,60,38.0,33.92857142857143,66.07142857142857
UCLA,2022,113,8,105,13.0,11.504424778761061,88.49557522123894
UCLA,2023,124,32,92,14.0,11.29032258064516,88.70967741935485
UCLA,2024,120,41,79,21.0,17.5,82.5
UCLA,2025,107,58,49,30.0,28.037383177570092,71.96261682242991
