School,Conference,Year,Team_Record,Conference_Champ,End_of_Year_AP_Rank,Total_Players,Underclassmen,Upperclassmen,Pct_Non_Transfers,Total_Transfers_Incoming,Pct_Transfers
Eastern Washington,Big Sky,2024,4-8,TBD,N/A,51,18,33,90.19607843137254,5.0,9.803921568627452
Eastern Washington,Big Sky,2025,5-7,TBD,N/A,111,72,39,95.49549549549548,5.0,4.504504504504505
Edinboro University,Pennsylvania State Athletic,2023,3-8,TBD,N/A,13,1,3,100.0,0.0,0.0
Edinboro University,Pennsylvania State Athletic,2024,3-8,TBD,N/A,17,0,2,94.11764705882354,1.0,5.88235294117647
Edward Waters,SIAC,2022,5-6,TBD,N/A,13,0,0,100.0,0.0,0.0
Edward Waters,SIAC,2025,5-5,TBD,N/A,16,3,0,93.75,1.0,6.25
Elizabeth City State,CIAA,2025,4-6,TBD,N/A,13,0,0,100.0,0.0,0.0
Elon,CAA,2022,8-4,TBD,N/A,105,46,59,96.1904761904762,4.0,3.8095238095238098
Elon,CAA,2023,6-5,TBD,N/A,43,16,25,97.67441860465117,1.0,2.3255813953488373
Elon,CAA,2024,6-6,TBD,N/A,48,20,24,93.75,3.0,6.25
Elon,CAA,2025,6-6,TBD,N/A,100,68,31,98.0,2.0,2.0
Faulkner University,,2022,,,,11,0,0,100.0,0.0,0.0
Fayetteville State,CIAA,2025,6-4,TBD,N/A,14,2,0,92.85714285714286,1.0,7.142857142857142
Ferris State,GLIAC,2022,14-1,TBD,N/A,11,0,0,100.0,0.0,0.0
Ferris State,GLIAC,2023,8-3,TBD,N/A,15,0,2,100.0,0.0,0.0
Ferrum,Carolinas,2025,4-7,TBD,N/A,17,0,0,100.0,0.0,0.0
Florida,SEC,2022,6-7,TBD,N/A,122,24,98,92.62295081967213,9.0,7.377049180327869
Florida,SEC,2023,5-7,TBD,N/A,117,29,88,89.74358974358975,12.0,10.256410256410255
Florida,SEC,2024,8-5,TBD,N/A,133,62,70,88.7218045112782,15.0,11.278195488721805
Florida,SEC,2025,4-8,TBD,N/A,120,79,41,93.33333333333331,8.0,6.666666666666667
Florida A&M,SWAC,2022,9-2,TBD,N/A,122,43,79,93.44262295081968,8.0,6.557377049180328
Florida A&M,SWAC,2023,12-1,TBD,N/A,52,13,36,90.3846153846154,5.0,9.615384615384617
Florida A&M,SWAC,2024,7-5,TBD,N/A,62,22,32,61.29032258064516,24.0,38.70967741935484
Florida A&M,SWAC,2025,5-7,TBD,N/A,112,53,57,84.82142857142857,17.0,15.178571428571429
Florida Atlantic,Conference USA,2022,5-7,TBD,N/A,117,33,84,89.74358974358975,12.0,10.256410256410255
Florida Atlantic,American Athletic,2023,4-8,TBD,N/A,125,29,85,90.4,12.0,9.6
Florida Atlantic,American Athletic,2024,3-9,TBD,N/A,117,49,65,82.90598290598291,20.0,17.094017094017094
Florida Atlantic,American Athletic,2025,4-8,TBD,N/A,110,63,47,65.45454545454545,38.0,34.54545454545455
Florida International,Conference USA,2022,4-8,TBD,N/A,113,39,74,90.26548672566372,11.0,9.734513274336283
Florida International,Conference USA,2023,4-8,TBD,N/A,113,41,72,92.92035398230088,8.0,7.079646017699115
Florida International,Conference USA,2024,4-8,TBD,N/A,112,47,63,91.07142857142856,10.0,8.928571428571429
Florida International,Conference USA,2025,7-6,TBD,N/A,108,67,41,78.7037037037037,23.0,21.296296296296298
Florida Memorial University,,2023,,,,14,0,0,100.0,0.0,0.0
Florida State,ACC,2022,10-3,TBD,N/A,120,17,103,89.16666666666667,13.0,10.833333333333334
Florida State,ACC,2023,13-1,TBD,4,123,31,92,91.0569105691057,11.0,8.94308943089431
Florida State,ACC,2024,2-10,TBD,N/A,124,57,67,86.29032258064517,17.0,13.709677419354838
Florida State,ACC,2025,5-7,TBD,N/A,108,65,43,79.62962962962963,22.0,20.37037037037037
Fordham,Patriot,2022,9-3,TBD,N/A,101,19,82,99.009900990099,1.0,0.99009900990099
Fordham,Patriot,2023,6-5,TBD,N/A,45,3,40,97.77777777777776,1.0,2.2222222222222223
Fordham,Patriot,2024,2-10,TBD,N/A,42,10,31,100.0,0.0,0.0
Fordham,Patriot,2025,1-11,TBD,N/A,106,54,52,100.0,0.0,0.0
Franklin Pierce,Northeast 10,2024,5-5,TBD,N/A,15,0,1,100.0,0.0,0.0
Fresno State,Mountain West,2022,10-4,TBD,N/A,108,7,101,88.88888888888889,12.0,11.11111111111111
Fresno State,Mountain West,2023,9-4,TBD,N/A,112,21,91,92.85714285714286,8.0,7.142857142857142
Fresno State,Mountain West,2024,6-7,TBD,N/A,117,42,75,94.01709401709402,7.0,5.982905982905983
Fresno State,Mountain West,2025,9-4,TBD,N/A,113,63,50,81.41592920353982,21.0,18.58407079646018
Frostburg State,Mountain East,2024,6-5,TBD,N/A,13,0,2,100.0,0.0,0.0
Furman,Southern,2022,10-3,TBD,N/A,108,34,74,100.0,0.0,0.0
Furman,Southern,2023,10-3,TBD,N/A,56,18,35,100.0,0.0,0.0
Furman,Southern,2024,3-8,TBD,N/A,48,26,19,95.83333333333331,2.0,4.166666666666666
Furman,Southern,2025,6-6,TBD,N/A,117,79,38,97.43589743589745,3.0,2.564102564102564
Gardner-Webb,Big South,2022,7-6,TBD,N/A,112,34,78,99.10714285714286,1.0,0.8928571428571428
Gardner-Webb,Big South-OVC,2023,7-5,TBD,N/A,55,10,43,98.1818181818182,1.0,1.818181818181818
Gardner-Webb,Big South-OVC,2024,4-8,TBD,N/A,50,17,30,76.0,12.0,24.0
Gardner-Webb,Big South-OVC,2025,7-5,TBD,N/A,129,79,50,92.24806201550388,10.0,7.751937984496124
Georgetown,Patriot,2022,2-9,TBD,N/A,95,21,74,100.0,0.0,0.0
Georgetown,Patriot,2023,5-6,TBD,N/A,30,6,24,100.0,0.0,0.0
Georgetown,Patriot,2024,5-6,TBD,N/A,34,6,25,97.05882352941175,1.0,2.941176470588235
Georgetown,Patriot,2025,6-6,TBD,N/A,105,49,55,99.04761904761904,1.0,0.9523809523809524
Georgetown College Kentucky,,2024,,,,14,0,1,100.0,0.0,0.0
Georgia,SEC,2022,15-0,TBD,2,130,15,115,99.23076923076924,1.0,0.7692307692307693
Georgia,SEC,2023,13-1,TBD,1,134,28,106,97.01492537313432,4.0,2.985074626865672
Georgia,SEC,2024,11-3,TBD,2,137,59,77,91.97080291970804,11.0,8.02919708029197
Georgia,SEC,2025,12-2,TBD,6,132,85,47,92.42424242424242,10.0,7.575757575757576
Georgia Southern,Sun Belt,2022,6-7,TBD,N/A,134,26,108,91.7910447761194,11.0,8.208955223880597
Georgia Southern,Sun Belt,2023,6-7,TBD,N/A,130,33,96,88.46153846153847,15.0,11.538461538461538
Georgia Southern,Sun Belt,2024,8-5,TBD,N/A,124,52,72,90.3225806451613,12.0,9.67741935483871
Georgia Southern,Sun Belt,2025,7-6,TBD,N/A,117,70,47,86.32478632478632,16.0,13.675213675213676
Georgia State,Sun Belt,2022,4-8,TBD,N/A,108,23,85,96.29629629629628,4.0,3.7037037037037033
Georgia State,Sun Belt,2023,7-6,TBD,N/A,101,22,78,81.1881188118812,19.0,18.81188118811881
Georgia State,Sun Belt,2024,3-9,TBD,N/A,112,41,71,72.32142857142857,31.0,27.67857142857143
Georgia State,Sun Belt,2025,1-11,TBD,N/A,122,66,56,77.8688524590164,27.0,22.131147540983605
Georgia Tech,ACC,2022,5-7,TBD,N/A,117,31,86,84.61538461538461,18.0,15.384615384615383
Georgia Tech,ACC,2023,7-6,TBD,N/A,121,42,76,86.77685950413223,16.0,13.223140495867767
Georgia Tech,ACC,2024,7-6,TBD,N/A,121,62,59,90.08264462809916,12.0,9.917355371900827
Georgia Tech,ACC,2025,9-4,TBD,N/A,108,62,43,78.7037037037037,23.0,21.296296296296298
Grambling,SWAC,2022,3-8,TBD,N/A,118,49,68,95.76271186440678,5.0,4.23728813559322
Grambling,SWAC,2023,5-6,TBD,N/A,60,12,37,96.66666666666669,2.0,3.333333333333333
Grambling,SWAC,2024,5-7,TBD,N/A,54,20,30,81.48148148148148,10.0,18.51851851851852
Grambling,SWAC,2025,7-5,TBD,N/A,94,39,44,95.74468085106383,4.0,4.25531914893617
Greeneville,South Atlantic,2023,6-5,TBD,N/A,17,0,1,94.11764705882354,1.0,5.88235294117647
Greensboro College,USA South,2025,3-7,TBD,N/A,18,0,0,100.0,0.0,0.0
Hampton,CAA,2022,4-7,TBD,N/A,88,42,46,98.86363636363636,1.0,1.1363636363636365
Hampton,CAA,2023,5-6,TBD,N/A,31,10,17,93.5483870967742,2.0,6.451612903225806
Hampton,CAA,2024,5-7,TBD,N/A,37,17,13,83.78378378378378,6.0,16.216216216216218
Hampton,CAA,2025,2-10,TBD,N/A,93,68,24,95.6989247311828,4.0,4.301075268817205
Hanover College,Heartland,2024,7-3,TBD,N/A,13,0,0,100.0,0.0,0.0
Hanover College,Heartland,2025,9-3,TBD,N/A,14,0,0,100.0,0.0,0.0
Harding University,Great American,2023,15-0,TBD,N/A,9,0,0,100.0,0.0,0.0
Harvard,Ivy,2022,6-4,TBD,N/A,123,45,78,100.0,0.0,0.0
Harvard,Ivy,2023,8-2,TBD,N/A,34,16,18,100.0,0.0,0.0
Harvard,Ivy,2024,8-2,TBD,N/A,29,15,13,100.0,0.0,0.0
Harvard,Ivy,2025,9-2,TBD,N/A,105,58,47,100.0,0.0,0.0
Hawai'i,Mountain West,2022,3-10,TBD,N/A,119,21,98,89.07563025210084,13.0,10.92436974789916
Hawai'i,Mountain West,2023,5-8,TBD,N/A,118,31,87,93.22033898305084,8.0,6.779661016949152
Hawai'i,Mountain West,2024,5-7,TBD,N/A,122,46,76,95.08196721311477,6.0,4.918032786885246
Hawai'i,Mountain West,2025,9-4,TBD,N/A,113,55,55,88.49557522123894,13.0,11.50442477876106
Holy Cross,Patriot,2022,12-1,TBD,N/A,99,10,89,100.0,0.0,0.0
Holy Cross,Patriot,2023,7-4,TBD,N/A,46,3,41,100.0,0.0,0.0
Holy Cross,Patriot,2024,6-6,TBD,N/A,49,14,34,100.0,0.0,0.0
Holy Cross,Patriot,2025,3-9,TBD,N/A,95,52,43,96.84210526315788,3.0,3.1578947368421053
Houston,American Athletic,2022,8-5,TBD,N/A,109,26,83,89.90825688073394,11.0,10.091743119266056
Houston,Big 12,2023,4-8,TBD,N/A,119,39,79,83.19327731092437,20.0,16.80672268907563
Houston,Big 12,2024,4-8,TBD,N/A,116,49,67,76.72413793103448,27.0,23.27586206896552
Houston,Big 12,2025,10-3,TBD,22,111,61,50,74.77477477477478,28.0,25.225225225225223
Houston Christian,Southland,2022,2-9,TBD,N/A,102,51,51,100.0,0.0,0.0
Houston Christian,Southland,2023,6-5,TBD,N/A,41,11,24,90.2439024390244,4.0,9.75609756097561
Houston Christian,Southland,2024,5-7,TBD,N/A,55,15,30,92.72727272727272,4.0,7.272727272727272
Houston Christian,Southland,2025,2-10,TBD,N/A,107,54,52,85.98130841121495,15.0,14.018691588785046
Howard,MEAC,2022,5-6,TBD,N/A,104,44,60,100.0,0.0,0.0
Howard,MEAC,2023,6-6,TBD,N/A,46,15,25,100.0,0.0,0.0
Howard,MEAC,2024,4-8,TBD,N/A,51,24,19,92.15686274509804,4.0,7.84313725490196
Howard,MEAC,2025,5-7,TBD,N/A,103,60,42,100.0,0.0,0.0
Idaho,Big Sky,2022,7-5,TBD,N/A,109,46,63,99.08256880733946,1.0,0.9174311926605504
Idaho,Big Sky,2023,9-4,TBD,N/A,49,11,33,100.0,0.0,0.0
Idaho,Big Sky,2024,10-4,TBD,N/A,49,23,24,95.91836734693878,2.0,4.081632653061225
Idaho,Big Sky,2025,4-8,TBD,N/A,114,81,32,92.98245614035088,8.0,7.017543859649122
Idaho State,Big Sky,2022,1-10,TBD,N/A,114,78,30,99.12280701754386,1.0,0.8771929824561403
Idaho State,Big Sky,2023,3-8,TBD,N/A,59,22,12,98.30508474576273,1.0,1.694915254237288
Idaho State,Big Sky,2024,5-7,TBD,N/A,51,19,8,90.19607843137254,5.0,9.803921568627452
Idaho State,Big Sky,2025,6-6,TBD,N/A,54,14,5,88.88888888888889,6.0,11.11111111111111
Illinois,Big Ten,2022,8-5,TBD,N/A,117,12,105,93.16239316239316,8.0,6.837606837606838
Illinois,Big Ten,2023,5-7,TBD,N/A,120,25,95,94.16666666666669,7.0,5.833333333333333
Illinois,Big Ten,2024,10-3,TBD,21,118,44,74,89.83050847457628,12.0,10.16949152542373
Illinois,Big Ten,2025,9-4,TBD,N/A,118,60,58,84.7457627118644,18.0,15.254237288135592
Illinois State,MVFC,2022,6-5,TBD,N/A,106,51,55,98.1132075471698,2.0,1.8867924528301887
Illinois State,MVFC,2023,6-5,TBD,N/A,31,8,19,93.5483870967742,2.0,6.451612903225806
Illinois State,MVFC,2024,10-4,TBD,N/A,42,14,25,90.47619047619048,4.0,9.523809523809524
Illinois State,MVFC,2025,12-5,TBD,N/A,112,67,45,93.75,7.0,6.25
Incarnate Word,Southland,2022,12-2,TBD,N/A,111,33,78,96.3963963963964,4.0,3.603603603603604
Incarnate Word,Southland,2023,9-2,TBD,N/A,48,10,28,70.83333333333333,14.0,29.166666666666668
Incarnate Word,Southland,2024,11-3,TBD,N/A,38,14,13,71.05263157894737,11.0,28.947368421052637
Incarnate Word,Southland,2025,5-7,TBD,N/A,43,18,9,69.76744186046511,13.0,30.23255813953488
Indiana,Big Ten,2022,4-8,TBD,N/A,115,22,93,88.69565217391305,13.0,11.304347826086955
Indiana,Big Ten,2023,3-9,TBD,N/A,122,36,85,81.14754098360656,23.0,18.852459016393443
Indiana,Big Ten,2024,11-2,TBD,9,116,41,75,74.13793103448276,30.0,25.86206896551724
Indiana,Big Ten,2025,16-0,TBD,1,106,58,48,78.30188679245283,23.0,21.69811320754717
Indiana State,MVFC,2022,2-9,TBD,N/A,119,69,50,97.47899159663864,3.0,2.5210084033613445
Indiana State,MVFC,2023,1-10,TBD,N/A,51,27,22,98.03921568627452,1.0,1.96078431372549
Indiana State,MVFC,2024,4-8,TBD,N/A,40,21,14,90.0,4.0,10.0
Indiana State,MVFC,2025,3-9,TBD,N/A,108,71,37,92.5925925925926,8.0,7.4074074074074066
Indiana Wesleyan,,2022,,,,9,1,0,100.0,0.0,0.0
Indiana Wesleyan,,2023,,,,13,1,1,100.0,0.0,0.0
Indiana Wesleyan,,2024,,,,11,0,1,100.0,0.0,0.0
Iowa,Big Ten,2022,8-5,TBD,N/A,127,13,114,99.21259842519684,1.0,0.7874015748031495
Iowa,Big Ten,2023,10-4,TBD,18,126,33,93,93.65079365079364,8.0,6.349206349206349
Iowa,Big Ten,2024,8-5,TBD,N/A,130,60,70,96.92307692307692,4.0,3.076923076923077
Iowa,Big Ten,2025,9-4,TBD,17,109,67,42,91.74311926605505,9.0,8.256880733944955
Iowa State,Big 12,2022,4-8,TBD,N/A,128,23,105,96.875,4.0,3.125
Iowa State,Big 12,2023,7-6,TBD,N/A,132,42,90,98.48484848484848,2.0,1.5151515151515151
Iowa State,Big 12,2024,11-3,TBD,18,133,68,65,93.98496240601504,8.0,6.015037593984962
Iowa State,Big 12,2025,8-4,TBD,N/A,121,73,48,93.38842975206612,8.0,6.6115702479338845
Jackson State,SWAC,2022,12-1,TBD,N/A,119,38,79,87.39495798319328,15.0,12.605042016806722
Jackson State,SWAC,2023,7-4,TBD,N/A,55,15,30,87.27272727272728,7.0,12.727272727272728
Jackson State,SWAC,2024,12-2,TBD,N/A,50,18,27,76.0,12.0,24.0
Jackson State,SWAC,2025,9-3,TBD,N/A,99,42,55,89.8989898989899,10.0,10.1010101010101
Jacksonville State,Atlantic Sun,2022,9-2,TBD,N/A,124,47,77,95.16129032258064,6.0,4.838709677419355
Jacksonville State,Conference USA,2023,9-4,TBD,N/A,129,50,79,98.44961240310076,2.0,1.550387596899225
Jacksonville State,Conference USA,2024,9-5,TBD,N/A,129,56,68,85.27131782945736,19.0,14.728682170542635
Jacksonville State,Conference USA,2025,9-5,TBD,N/A,121,74,47,81.81818181818181,22.0,18.181818181818183
James Madison,Sun Belt,2022,8-3,TBD,N/A,111,28,83,95.49549549549548,5.0,4.504504504504505
James Madison,Sun Belt,2023,11-2,TBD,24,112,27,85,95.53571428571428,5.0,4.464285714285714
James Madison,Sun Belt,2024,9-4,TBD,N/A,120,49,71,78.33333333333333,26.0,21.666666666666668
James Madison,Sun Belt,2025,12-2,TBD,19,113,59,54,74.3362831858407,29.0,25.663716814159294
Kansas,Big 12,2022,6-7,TBD,19,116,22,94,87.06896551724138,15.0,12.93103448275862
Kansas,Big 12,2023,9-4,TBD,N/A,119,32,86,89.91596638655463,12.0,10.084033613445378
Kansas,Big 12,2024,5-7,TBD,N/A,125,53,72,91.2,11.0,8.799999999999999
Kansas,Big 12,2025,5-7,TBD,N/A,112,64,48,75.89285714285714,27.0,24.107142857142858
Kansas State,Big 12,2022,10-4,TBD,20,124,20,104,94.35483870967742,7.0,5.64516129032258
Kansas State,Big 12,2023,9-4,TBD,N/A,124,37,87,95.16129032258064,6.0,4.838709677419355
Kansas State,Big 12,2024,9-4,TBD,N/A,124,57,66,91.93548387096774,10.0,8.064516129032258
Kansas State,Big 12,2025,6-6,TBD,N/A,110,62,48,85.45454545454545,16.0,14.545454545454543
Keiser University,,2022,,,,16,1,3,100.0,0.0,0.0
Kennesaw State,Atlantic Sun,2022,5-6,TBD,N/A,114,35,79,99.12280701754386,1.0,0.8771929824561403
Kennesaw State,FCS Independents,2023,3-6,TBD,N/A,46,10,34,97.82608695652172,1.0,2.1739130434782608
Kennesaw State,Conference USA,2024,2-10,TBD,N/A,125,69,55,92.0,10.0,8.0
Kennesaw State,Conference USA,2025,10-4,TBD,N/A,101,52,49,73.26732673267327,27.0,26.73267326732673
Kent State,Mid-American,2022,5-7,TBD,N/A,101,21,80,96.03960396039604,4.0,3.96039603960396
Kent State,Mid-American,2023,1-11,TBD,N/A,102,40,62,93.1372549019608,7.0,6.862745098039216
Kent State,Mid-American,2024,0-12,TBD,N/A,116,72,41,86.20689655172414,16.0,13.79310344827586
Kent State,Mid-American,2025,5-7,TBD,N/A,104,64,39,88.46153846153847,12.0,11.538461538461538
Kentucky,SEC,2022,7-6,TBD,13,117,20,97,92.3076923076923,9.0,7.6923076923076925
Kentucky,SEC,2023,7-6,TBD,N/A,119,33,85,89.91596638655463,12.0,10.084033613445378
Kentucky,SEC,2024,4-8,TBD,N/A,114,46,67,89.47368421052632,12.0,10.526315789473683
Kentucky,SEC,2025,5-7,TBD,N/A,114,65,48,78.0701754385965,25.0,21.929824561403507
Kentucky Christian,,2022,,,,21,0,0,100.0,0.0,0.0
Kentucky Christian,,2024,,,,9,1,0,100.0,0.0,0.0
Kentucky Christian,,2025,,,,12,2,0,100.0,0.0,0.0
Kentucky State,SIAC,2022,4-6,TBD,N/A,13,0,0,100.0,0.0,0.0
Kentucky State,SIAC,2024,4-6,TBD,N/A,15,3,0,100.0,0.0,0.0
Kentucky State,SIAC,2025,9-3,TBD,N/A,14,0,1,100.0,0.0,0.0
LSU,SEC,2022,10-4,TBD,25,114,22,92,85.96491228070175,16.0,14.035087719298245
LSU,SEC,2023,10-3,TBD,13,117,39,78,88.03418803418803,14.0,11.965811965811966
LSU,SEC,2024,9-4,TBD,N/A,110,50,60,90.9090909090909,10.0,9.090909090909092
LSU,SEC,2025,7-6,TBD,N/A,112,74,37,83.92857142857143,18.0,16.071428571428573
La Verne,So. Cal.,2022,2-8,TBD,N/A,12,0,0,100.0,0.0,0.0
Lafayette,Patriot,2022,4-7,TBD,N/A,88,27,61,100.0,0.0,0.0
Lafayette,Patriot,2023,9-3,TBD,N/A,44,12,31,100.0,0.0,0.0
Lafayette,Patriot,2024,6-6,TBD,N/A,58,19,34,98.27586206896552,1.0,1.7241379310344829
Lafayette,Patriot,2025,8-4,TBD,N/A,98,60,38,96.93877551020408,3.0,3.061224489795918
Lamar,Southland,2022,1-10,TBD,N/A,120,78,41,98.33333333333331,2.0,1.6666666666666667
Lamar,Southland,2023,6-5,TBD,N/A,47,19,23,93.61702127659576,3.0,6.382978723404255
Lamar,Southland,2024,7-5,TBD,N/A,50,22,24,90.0,5.0,10.0
Lamar,Southland,2025,8-5,TBD,N/A,117,74,40,96.58119658119658,4.0,3.418803418803419
Lane College,SIAC,2022,5-5,TBD,N/A,16,0,0,100.0,0.0,0.0
Lane College,SIAC,2023,2-8,TBD,N/A,14,1,1,100.0,0.0,0.0
Lane College,SIAC,2024,4-6,TBD,N/A,9,0,0,100.0,0.0,0.0
Lane College,SIAC,2025,0-10,TBD,N/A,19,1,1,94.73684210526316,1.0,5.263157894736842
Langston University,,2025,,,,20,0,0,100.0,0.0,0.0
Laurinburg,,2022,,,,10,0,0,100.0,0.0,0.0
Laurinburg,,2023,,,,11,0,0,100.0,0.0,0.0
Lehigh,Patriot,2022,2-9,TBD,N/A,92,23,69,98.91304347826087,1.0,1.0869565217391304
Lehigh,Patriot,2023,2-9,TBD,N/A,34,7,26,100.0,0.0,0.0
Lehigh,Patriot,2024,9-4,TBD,N/A,44,18,26,100.0,0.0,0.0
Lehigh,Patriot,2025,12-1,TBD,N/A,92,52,40,98.91304347826087,1.0,1.0869565217391304
Liberty,FBS Independents,2022,8-5,TBD,N/A,115,23,92,88.69565217391305,13.0,11.304347826086955
Liberty,Conference USA,2023,13-1,TBD,20,119,34,83,89.07563025210084,13.0,10.92436974789916
Liberty,Conference USA,2024,8-4,TBD,N/A,118,49,69,84.7457627118644,18.0,15.254237288135592
Liberty,Conference USA,2025,4-8,TBD,N/A,107,56,49,81.30841121495327,20.0,18.69158878504673
Limestone,South Atlantic,2022,8-4,TBD,N/A,11,1,2,100.0,0.0,0.0
Lincoln (CA),,2022,,,,31,0,0,100.0,0.0,0.0
Lincoln (CA),,2023,,,,39,0,0,100.0,0.0,0.0
Lincoln (CA),Independent DII,2024,0-11,TBD,N/A,23,0,0,100.0,0.0,0.0
Lincoln (CA),Independent DII,2025,0-8,TBD,N/A,37,0,0,100.0,0.0,0.0
Lincoln (PA),CIAA,2022,2-7,TBD,N/A,14,0,1,100.0,0.0,0.0
Lincoln (PA),CIAA,2024,2-8,TBD,N/A,11,0,1,100.0,0.0,0.0
Lincoln (PA),CIAA,2025,0-10,TBD,N/A,14,1,0,100.0,0.0,0.0
Lindenwood,OVC,2022,7-3,TBD,N/A,103,55,48,100.0,0.0,0.0
Lindenwood,Big South-OVC,2023,3-7,TBD,N/A,34,15,12,100.0,0.0,0.0
Lindenwood,Big South-OVC,2024,5-7,TBD,N/A,46,22,20,93.47826086956522,3.0,6.521739130434782
Lindenwood,Big South-OVC,2025,6-6,TBD,N/A,105,71,34,92.38095238095238,8.0,7.6190476190476195
Little Rock,,2023,,,,16,0,0,100.0,0.0,0.0
Little Rock,,2024,,,,10,0,0,100.0,0.0,0.0
Little Rock,,2025,,,,13,1,0,100.0,0.0,0.0
Long Island University,NEC,2022,4-7,TBD,N/A,118,71,47,100.0,0.0,0.0
Long Island University,NEC,2023,4-7,TBD,N/A,48,13,25,100.0,0.0,0.0
Long Island University,NEC,2024,4-8,TBD,N/A,51,20,26,100.0,0.0,0.0
Long Island University,NEC,2025,6-6,TBD,N/A,69,19,38,100.0,0.0,0.0
Louisiana,Sun Belt,2022,6-7,TBD,N/A,138,37,101,98.55072463768116,2.0,1.4492753623188406
Louisiana,Sun Belt,2023,6-7,TBD,N/A,137,50,85,99.27007299270072,1.0,0.7299270072992701
Louisiana,Sun Belt,2024,10-4,TBD,N/A,136,66,69,94.8529411764706,7.0,5.147058823529411
Louisiana,Sun Belt,2025,6-7,TBD,N/A,108,66,41,95.37037037037037,5.0,4.62962962962963
Louisiana College,,2022,,,,12,0,0,100.0,0.0,0.0
Louisiana College,,2024,,,,17,0,1,100.0,0.0,0.0
Louisiana College,,2025,,,,15,0,1,100.0,0.0,0.0
Louisiana Tech,Conference USA,2022,3-9,TBD,N/A,115,31,84,92.17391304347828,9.0,7.82608695652174
Louisiana Tech,Conference USA,2023,3-9,TBD,N/A,115,38,77,83.47826086956522,19.0,16.52173913043478
Louisiana Tech,Conference USA,2024,5-8,TBD,N/A,116,49,66,89.65517241379311,12.0,10.344827586206897
Louisiana Tech,Conference USA,2025,8-5,TBD,N/A,107,65,42,91.58878504672896,9.0,8.411214953271028
Louisville,ACC,2022,8-5,TBD,N/A,118,27,91,88.98305084745763,13.0,11.016949152542372
Louisville,ACC,2023,10-4,TBD,15,122,34,83,78.68852459016394,26.0,21.311475409836063
Louisville,ACC,2024,9-4,TBD,N/A,119,49,65,76.47058823529412,28.0,23.52941176470588
Louisville,ACC,2025,9-4,TBD,N/A,109,60,49,72.47706422018348,30.0,27.522935779816518
Maine,CAA,2022,2-9,TBD,N/A,106,26,80,99.05660377358492,1.0,0.9433962264150944
Maine,CAA,2023,2-9,TBD,N/A,44,6,35,97.72727272727272,1.0,2.272727272727273
Maine,CAA,2024,5-7,TBD,N/A,47,12,34,93.61702127659576,3.0,6.382978723404255
Maine,CAA,2025,6-6,TBD,N/A,95,55,40,93.6842105263158,6.0,6.315789473684211
Marist,Pioneer,2022,4-7,TBD,N/A,107,58,49,100.0,0.0,0.0
Marist,Pioneer,2023,4-7,TBD,N/A,35,17,15,100.0,0.0,0.0
Marist,Pioneer,2024,1-10,TBD,N/A,28,17,9,96.42857142857144,1.0,3.571428571428571
Marist,Pioneer,2025,5-7,TBD,N/A,104,76,28,100.0,0.0,0.0
Mars Hill,South Atlantic,2022,7-3,TBD,N/A,19,0,2,100.0,0.0,0.0
Marshall,Sun Belt,2022,9-4,TBD,N/A,124,34,90,89.51612903225806,13.0,10.483870967741936
Marshall,Sun Belt,2023,6-7,TBD,N/A,126,43,82,91.26984126984128,11.0,8.73015873015873
Marshall,Sun Belt,2024,10-3,TBD,N/A,117,52,64,76.06837606837607,28.0,23.93162393162393
Marshall,Sun Belt,2025,5-7,TBD,N/A,106,55,51,50.943396226415096,52.0,49.0566037735849
Maryland,Big Ten,2022,8-5,TBD,N/A,118,17,101,94.91525423728814,6.0,5.084745762711865
Maryland,Big Ten,2023,8-5,TBD,N/A,117,31,86,91.45299145299144,10.0,8.547008547008547
Maryland,Big Ten,2024,4-8,TBD,N/A,119,56,63,93.27731092436974,8.0,6.722689075630252
Maryland,Big Ten,2025,4-8,TBD,N/A,105,75,30,85.71428571428572,15.0,14.285714285714285
Massachusetts,FBS Independents,2022,1-11,TBD,N/A,107,24,83,82.24299065420561,19.0,17.75700934579439
Massachusetts,FBS Independents,2023,3-9,TBD,N/A,110,25,83,80.9090909090909,21.0,19.090909090909093
Massachusetts,FBS Independents,2024,2-10,TBD,N/A,111,33,76,73.87387387387388,29.0,26.126126126126124
Massachusetts,Mid-American,2025,0-12,TBD,N/A,98,42,55,64.28571428571428,35.0,35.714285714285715
McKendree,Great Lakes,2022,5-6,TBD,N/A,12,0,0,100.0,0.0,0.0
McKendree,Great Lakes,2024,5-6,TBD,N/A,15,1,0,100.0,0.0,0.0
McKendree,Great Lakes,2025,4-6,TBD,N/A,15,1,0,100.0,0.0,0.0
McNeese,Southland,2022,4-7,TBD,N/A,114,59,54,95.6140350877193,5.0,4.385964912280701
McNeese,Southland,2023,1-10,TBD,N/A,47,15,25,95.74468085106383,2.0,4.25531914893617
McNeese,Southland,2024,6-6,TBD,N/A,53,13,37,77.35849056603773,12.0,22.641509433962263
McNeese,Southland,2025,5-7,TBD,N/A,112,65,47,94.64285714285714,6.0,5.357142857142857
Memphis,American Athletic,2022,7-6,TBD,N/A,115,29,86,90.43478260869566,11.0,9.565217391304348
Memphis,American Athletic,2023,10-3,TBD,N/A,116,38,78,83.62068965517241,19.0,16.379310344827587
Memphis,American Athletic,2024,11-2,TBD,25,131,49,80,77.09923664122138,30.0,22.900763358778622
